,Sim_Type,Nsubs,Iteration,Station,BShear_X,BShear_Y,Zone
247,DRM,20f4s,3,s5,16.762716769972553,1.4043710663098974,zone2
248,DRM,20f4s,4,s5,26.337692843595097,47.53567367622737,zone2
249,DRM,20f4s,5,s5,33.172919824004985,32.5289326663425,zone2
250,DRM,20f4s,1,s6,12.209443215048733,12.067862864283779,zone2
251,DRM,20f4s,2,s6,24.02357406557617,21.656230925958727,zone2
252,DRM,20f4s,3,s6,130.38959054930254,4.38668581761006,zone2
253,DRM,20f4s,4,s6,54.152801094543676,69.70591969153864,zone2
254,DRM,20f4s,5,s6,74.32145660168246,116.25775277399256,zone2
255,DRM,20f4s,1,s7,24.106328279643627,5.998506595338753,zone3
256,DRM,20f4s,2,s7,3.124469586626219,12.969597558888738,zone3
257,DRM,20f4s,3,s7,21.950413060065028,1.2735138632999623,zone3
258,DRM,20f4s,4,s7,47.95035267020244,74.5812415045576,zone3
259,DRM,20f4s,5,s7,15.555082510162611,20.5893277890676,zone3
260,DRM,20f4s,1,s8,36.811221110692465,52.910518436673634,zone3
261,DRM,20f4s,2,s8,27.009534205522506,21.49998977330629,zone3
262,DRM,20f4s,3,s8,22.11230179376254,10.278386220986373,zone3
263,DRM,20f4s,4,s8,33.01773031006876,5.961650333718702,zone3
264,DRM,20f4s,5,s8,8.839966063113868,14.2181206732013,zone3
265,DRM,20f4s,1,s9,29.49746726244371,25.925301402802486,zone3
266,DRM,20f4s,2,s9,13.528976966343853,27.631951610197568,zone3
267,DRM,20f4s,3,s9,9.94804537263001,9.013399595069986,zone3
268,DRM,20f4s,4,s9,27.784307824458722,13.108150830532475,zone3
269,DRM,20f4s,5,s9,45.346463377005016,32.100448864803866,zone3
