,Sim_Type,Nsubs,Iteration,Station,s1,s5,s10,s15,s20
150,AbsBound,20f4s,1,s4,0.0012922078147397553,0.002058441653681585,0.0030133118727824434,0.003613311953858249,0.003591883379319039
151,AbsBound,20f4s,2,s4,0.0014996753399409409,0.0023038961996423367,0.002922402847187204,0.0036487016590740864,0.004003571826818281
152,AbsBound,20f4s,3,s4,0.0010688311740022856,0.0013474026056268832,0.0019113636776340109,0.0028636364749300017,0.0030542208848874253
153,AbsBound,20f4s,4,s4,0.0017003246555325493,0.002672727433701969,0.004010065550375557,0.005250974836043782,0.005317533361949008
154,AbsBound,20f4s,5,s4,0.0017477272657758546,0.0022659091720210137,0.002970454724697615,0.004329546004600433,0.00458928623802106
155,AbsBound,20f4s,1,s5,0.0007496753284723456,0.0010662337764803383,0.001411363658817333,0.0018993506981911372,0.0019922078459775026
156,AbsBound,20f4s,2,s5,0.0010711039038771228,0.0015542208064701056,0.0015827922360563543,0.0022970779817423795,0.0024301948985398156
157,AbsBound,20f4s,3,s5,0.0008139610434412749,0.0012230519715427785,0.0018993506981911372,0.002285065005845696,0.0023373377486688835
158,AbsBound,20f4s,4,s5,0.0007120129858569273,0.0008831168866442605,0.0009827922186410698,0.001597077950858796,0.0017970779585654885
159,AbsBound,20f4s,5,s5,0.0011522727302845826,0.0015519480737155235,0.002477272892803665,0.0030373378083396628,0.0032944806914630546
160,AbsBound,20f4s,1,s6,0.0008064935152153001,0.001318506513093174,0.001685389629679578,0.00236363643938242,0.002582792283300656
161,AbsBound,20f4s,2,s6,0.000951948060107283,0.0013542207998857958,0.0018159091429102085,0.002151623449732083,0.002258766314418518
162,AbsBound,20f4s,3,s6,0.0006120129861582517,0.000713961042404083,0.0010376623473650906,0.0013568181943079257,0.0014211039098196638
163,AbsBound,20f4s,4,s6,0.0006022727280941871,0.000802272728731326,0.0011827922235372046,0.0014448052136639908,0.0015496753409825722
164,AbsBound,20f4s,5,s6,0.0009334415564559595,0.0011496753336335114,0.001649026028957712,0.0022688311921831494,0.002575974056101315
165,AbsBound,20f4s,1,s7,0.0009165584434628616,0.0013827922293420856,0.0020750001063476985,0.0030873378131994773,0.0031633118917342496
166,AbsBound,20f4s,2,s7,0.0006068181843006476,0.0008853896156942643,0.0011827922235372046,0.001497077947353443,0.0014970779473625123
167,AbsBound,20f4s,3,s7,0.00042857142857162045,0.0006639610419358387,0.0009711039024893418,0.0011711039054013756,0.0011996753344361694
168,AbsBound,20f4s,4,s7,0.0007925324717793779,0.0011139610473708296,0.0014613636604445795,0.0017353896308436134,0.0018474026128782902
169,AbsBound,20f4s,5,s7,0.0008779220882712921,0.0013801948351537894,0.0019659091518994198,0.0021876623809905563,0.002297077981751685
170,AbsBound,20f4s,1,s8,0.0007334415572148769,0.0010970779356134328,0.0016113636656612377,0.0018256493882908053,0.0017827922437165544
171,AbsBound,20f4s,2,s8,0.0006308441567455074,0.0008685065019658966,0.001225649367564102,0.0016659091346418338,0.0018444805731513405
172,AbsBound,20f4s,3,s8,0.0007756493573876631,0.0011613636515421524,0.0018944805761021539,0.0022587663143666145,0.002268506551701587
173,AbsBound,20f4s,4,s8,0.0009048701280041547,0.0012993506721316545,0.0021159091616029238,0.00257305205273171,0.0025516234795673006
174,AbsBound,20f4s,5,s8,0.0007756493573876631,0.001334740295622313,0.002163311783132066,0.002665909203303997,0.0026493507446303825
175,AbsBound,20f4s,1,s9,0.0006879870140591417,0.0009425324735464222,0.001273051973512964,0.0020019480882182148,0.0020782467826109463
176,AbsBound,20f4s,2,s9,0.0005451298708024515,0.0006214285714288479,0.0008376623439717661,0.0013165584454910314,0.001516558446785146
177,AbsBound,20f4s,3,s9,0.0006571428571430401,0.0007737013000577877,0.0008308441574086293,0.0011805194930948402,0.0012948052099464968
178,AbsBound,20f4s,4,s9,0.0006094155852570172,0.0010159091070715233,0.0015827922360563543,0.001832792245729116,0.0018685065329484152
179,AbsBound,20f4s,5,s9,0.0007594155857228921,0.001044480536572224,0.0015707792541357932,0.0016068181993470572,0.0017185065268460063
180,DRM,20f2s,1,s1,0.006957211747829657,0.007292594466886438,0.008064038658828772,0.00937118961512299,0.009615024149604154
181,DRM,20f2s,2,s1,0.008871697833762557,0.011072999469695788,0.011700963648650971,0.01397220108867639,0.01435112423118994
182,DRM,20f2s,3,s1,0.010844809588112585,0.015516880932017986,0.02100027373531494,0.02397700949377105,0.023579223110345195
183,DRM,20f2s,4,s1,0.004802325529335608,0.0055886754205153166,0.005548414422546422,0.007048768553336327,0.007603327137201435
184,DRM,20f2s,5,s1,0.01022770484867068,0.014003764657742251,0.017256032848349846,0.01879449833394802,0.01909032154902412
185,DRM,20f2s,1,s2,0.002985725600030292,0.00380488006116432,0.004323389490855359,0.005177616814507093,0.0050415768596532885
186,DRM,20f2s,2,s2,0.003507153038953644,0.005021127651878501,0.0061263359932726535,0.006757841168556223,0.006715956814425087
187,DRM,20f2s,3,s2,0.0025285767647382604,0.002975003827964682,0.003923059401343231,0.004508776294423863,0.004373061369885015
188,DRM,20f2s,4,s2,0.003378576554062893,0.0025090944669156397,0.002579549311737616,0.003136694538842014,0.003120136009480492
189,DRM,20f2s,5,s2,0.0036949948033341805,0.004803594555523825,0.005416914213964941,0.00574386741010391,0.005748088431852294
190,DRM,20f2s,1,s3,0.007150068599449873,0.005100353183628795,0.006254590155615104,0.007612731580900508,0.007583835125981934
191,DRM,20f2s,2,s3,0.005628603576240621,0.004256510612703413,0.0050139870222923105,0.005463668351528378,0.005507824418128943
192,DRM,20f2s,3,s3,0.004221429986213142,0.002270781531151083,0.0030042254342095495,0.0037967611843918916,0.004161048672734414
193,DRM,20f2s,4,s3,0.005492886683504608,0.005751991307068817,0.006347456307575931,0.007708851791426624,0.00785171266964393
194,DRM,20f2s,5,s3,0.005964320306859706,0.004588331710210292,0.0055932137490199915,0.005965943548305388,0.005822759025949268
195,DRM,20f2s,1,s4,0.00495715964576206,0.00356721595516497,0.0043259879485689585,0.0047503403254702025,0.0046574825117384686
196,DRM,20f2s,2,s4,0.004092866707837026,0.0034149434835742446,0.0037646204090169113,0.004623376817327313,0.004675649598475631
197,DRM,20f2s,3,s4,0.004614311295921205,0.004498072753830204,0.005084443207120514,0.00558022918570792,0.005513669747018341
198,DRM,20f2s,4,s4,0.004750012932455885,0.004385081374458519,0.005095788542905515,0.006197739880392884,0.006069816826142977
199,DRM,20f2s,5,s4,0.004421453601532607,0.0038678699313773666,0.004575013473414517,0.005409442120777543,0.005682159544440121
200,DRM,20f2s,1,s5,0.0018240290500693595,0.002537341335528583,0.0027133160409832085,0.002787989107780623,0.0028308463195730765
201,DRM,20f2s,2,s5,0.0016750019845937773,0.002244157235932872,0.002549027794429084,0.0033292241307634344,0.0033717567513308843
202,DRM,20f2s,3,s5,0.0018071430107325709,0.002635717687805422,0.0031620181365854985,0.0034789024490949286,0.0034194866090401493
203,DRM,20f2s,4,s5,0.0020211083018475398,0.002871109285731605,0.00317273424929352,0.003331826089057795,0.003343514488138781
204,DRM,20f2s,5,s5,0.002078571871693093,0.002229872120035015,0.0025652623060215905,0.0032581212244779697,0.0033009784922821035
205,DRM,20f2s,1,s6,0.0019191580598097889,0.002824029721550358,0.00303571872229205,0.003663318604617407,0.0037561761394139946
206,DRM,20f2s,2,s6,0.001671430734056061,0.0019103911537473855,0.00197175434903929,0.0023269502801980526,0.0023389614709430724
207,DRM,20f2s,3,s6,0.0018928587036516915,0.0020801966813496953,0.002485717098615475,0.0027149384540939374,0.0027772762546491546
208,DRM,20f2s,4,s6,0.002021432623485589,0.0022970807629456042,0.002488963959453397,0.002725653071930943,0.0028480561929062997
209,DRM,20f2s,5,s6,0.001915426018051121,0.002089937233462778,0.0024237034599162805,0.002556820634715708,0.0027993536814713755
210,DRM,20f2s,1,s7,0.0013785721827657385,0.0019503256228791714,0.0025201314374137217,0.0028808460661817973,0.002916560401894763
211,DRM,20f2s,2,s7,0.0015071434305434926,0.0013360392560086958,0.0017529225952054007,0.002074351387226885,0.0020240266974185196
212,DRM,20f2s,3,s7,0.0012737022709166173,0.0015974034782820744,0.0015503254836079197,0.0019366896651773777,0.0020227287551011796
